timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549836792229,58,Search By Name,200,OK,Main script 1-1,text,true,,26545,439,9,9,http://10.17.175.58/blog/search?q=editor1,48,0,7
1549836787959,52,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-8,,true,,20464,441,9,9,null,0,4335,0
1549836792263,52,Open Predefined Date,200,OK,Main script 1-8,text,true,,20464,441,9,9,http://10.17.175.58/blog/2019/02/05/default,46,0,12
1549836789438,62,Search By Name,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,26622,439,9,9,null,0,3094,0
1549836792497,62,Search By Name,200,OK,Main script 1-3,text,true,,26622,439,9,9,http://10.17.175.58/blog/search?q=editor3,53,0,11
1549836790752,56,Comment,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,2415,2318,9,9,null,0,1988,0
1549836792739,56,Comment,200,OK,Main script 1-5,text,true,,2415,2318,9,9,http://10.17.175.58/blog/post/editor310,56,0,9
1549836791541,43,Open First Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-7,,true,,26039,437,9,9,null,0,1701,0
1549836793212,43,Open First Post,200,OK,Main script 1-7,text,true,,26039,437,9,9,http://10.17.175.58/blog/post/editor113,34,0,0
1549836790094,47,Open Contacts,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,21301,430,9,9,null,0,3231,0
1549836793324,47,Open Contacts,200,OK,Main script 1-4,text,true,,21301,430,9,9,http://10.17.175.58/blog/contact,41,0,6
1549836791112,46,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-9,,true,,17197,439,9,9,null,0,2591,0
1549836793666,46,Open Random Page,200,OK,Main script 1-9,text,true,,17197,439,9,9,http://10.17.175.58/blog/search?q=editor2,40,0,8
1549836789299,60,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,17197,439,9,9,null,0,4398,0
1549836793671,60,Open Random Page,200,OK,Main script 1-2,text,true,,17197,439,9,9,http://10.17.175.58/blog/search?q=editor2,60,0,11
1549836792796,76,Open Random Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,29605,441,9,9,null,0,1117,0
1549836793879,76,Open Random Date,200,OK,Main script 1-5,text,true,,29605,441,9,9,http://10.17.175.58/blog/2019/02/01/default,65,0,18
1549836792323,70,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,26545,439,9,9,null,0,2040,0
1549836794331,70,Open Random Page,200,OK,Main script 1-1,text,true,,26545,439,9,9,http://10.17.175.58/blog/search?q=editor1,61,0,18
1549836792346,69,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-8,,true,,26208,437,9,9,null,0,2157,0
1549836794483,69,Open Random Post,200,OK,Main script 1-8,text,true,,26208,437,9,9,http://10.17.175.58/blog/post/editor114,60,0,6
1549836790355,60,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,26549,437,9,9,null,0,4402,0
1549836794735,60,Open Random Post,200,OK,Main script 1-6,text,true,,26549,437,9,9,http://10.17.175.58/blog/post/editor341,47,0,7
1549836793749,64,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-9,,true,,20464,441,10,10,null,0,1314,0
1549836795024,64,Open Predefined Date,200,OK,Main script 1-9,text,true,,20464,441,10,10,http://10.17.175.58/blog/2019/02/05/default,46,0,6
1549836793989,72,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,29605,441,10,10,null,0,1421,0
1549836795373,72,Open Random Page,200,OK,Main script 1-5,text,true,,29605,441,10,10,http://10.17.175.58/blog/2019/02/01/default,61,0,7
1549836795126,61,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-9,,true,,26208,437,10,10,null,0,1574,0
1549836796660,61,Open Random Post,200,OK,Main script 1-9,text,true,,26208,437,10,10,http://10.17.175.58/blog/post/editor114,54,0,0
1549836794572,62,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-8,,true,,29630,423,10,10,null,0,2398,0
1549836796932,62,Home page,200,OK,Main script 1-8,text,true,,29630,423,10,10,http://10.17.175.58/blog/,45,0,7
1549836793372,47,Search By Name,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,17197,439,10,10,null,0,3894,0
1549836797247,47,Search By Name,200,OK,Main script 1-4,text,true,,17197,439,10,10,http://10.17.175.58/blog/search?q=editor2,41,0,8
